section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll,pitch,yaw,rotation vector w,rotation vector x,rotation vector y,rotation vector z
f04c7b44-5076-4f28-a28d-7b7863f63221,b2345e8e-d5d9-49fe-a6bc-2a04432a24e5,1685088814233771015,0.182927,-15.914635,8.719512,-0.01825,-1.171753,0.170227,6.92820541292906,89.57311380616073,,,,,
f04c7b44-5076-4f28-a28d-7b7863f63221,b2345e8e-d5d9-49fe-a6bc-2a04432a24e5,1685088814238711015,-0.304878,-16.219513,8.536586,-0.021973,-1.162415,0.166138,6.856737315615106,89.14381341830989,,,,,
f04c7b44-5076-4f28-a28d-7b7863f63221,b2345e8e-d5d9-49fe-a6bc-2a04432a24e5,1685088814243651015,-0.914634,-16.585365,8.414635,-0.022766,-1.151733,0.162964,6.784246809544442,88.7115016308112,,,,,
f04c7b44-5076-4f28-a28d-7b7863f63221,b2345e8e-d5d9-49fe-a6bc-2a04432a24e5,1685088814248591015,-1.463415,-17.134148,8.170732,-0.028076,-1.144104,0.161682,6.711500020631945,88.27654390939085,,,,,
f04c7b44-5076-4f28-a28d-7b7863f63221,b2345e8e-d5d9-49fe-a6bc-2a04432a24e5,1685088814253531015,-1.707317,-17.5,7.073171,-0.04425,-1.148621,0.161743,6.643207589438532,87.84064369121074,,,,,
f04c7b44-5076-4f28-a28d-7b7863f63221,b2345e8e-d5d9-49fe-a6bc-2a04432a24e5,1685088814258471015,-1.280488,-17.92683,6.341464,-0.050049,-1.158752,0.160461,6.575071944714892,87.40702741898662,,,,,
f04c7b44-5076-4f28-a28d-7b7863f63221,b2345e8e-d5d9-49fe-a6bc-2a04432a24e5,1685088814263411015,-1.280488,-18.536585,5.97561,-0.05188,-1.171448,0.151245,6.504676368262295,86.97353483424962,,,,,
f04c7b44-5076-4f28-a28d-7b7863f63221,b2345e8e-d5d9-49fe-a6bc-2a04432a24e5,1685088814268351015,-1.219512,-18.780489,6.158537,-0.057007,-1.175049,0.139343,6.435295279712989,86.54052985951284,,,,,
f04c7b44-5076-4f28-a28d-7b7863f63221,b2345e8e-d5d9-49fe-a6bc-2a04432a24e5,1685088814273291015,-1.219512,-18.902439,7.073171,-0.056458,-1.171753,0.131409,6.36584076324732,86.10759714130029,,,,,
f04c7b44-5076-4f28-a28d-7b7863f63221,b2345e8e-d5d9-49fe-a6bc-2a04432a24e5,1685088814278231015,-1.158537,-18.780489,8.536586,-0.0578,-1.150513,0.121033,6.298803482922551,85.67506631407906,,,,,
